id,name,description,amount,start_date,last_charge_date,next_charge_date,created_on,frequency_id,owner_id,status_id,interest_rate,withdrawal_date,default_plan,plan_type_id,goal,locked,next_returns_date,last_returns_date,cowry_amount,debit_card,is_archived,is_deleted,is_goal_achieved,is_a_goal,is_interest_free,plan_group_id,is_deleted_from_group,is_a_fund,purchased_fund_id,is_a_wallet,currency_is_dollars,is_auto_rollover,is_vendor_plan,plan_source,is_donation_plan,donation_description,donation_expiry_date,donation_link,link_code,charge_payment_fee,donation_is_approved,is_emergency_plan,is_personal_challenge,currency_id,is_a_usd_index,usd_index_id,open_savings_plan,new_cycle,recurrence,is_bloom_note,is_managed_portfolio,portfolio_holdings_id,is_fixed_investment,is_regular_savings,preset_id
000cbd97d4874dad86eef923db578da8,Stash,Stash,0,2023-10-28,NULL,NULL,"2023-10-28 12:30:19",1,27cbc86d9dd0474c8b32634999aed816,2,0,NULL,0,1,0,1,2023-10-28,2023-10-28,0,NULL,0,0,0,0,0,NULL,0,0,NULL,1,0,0,0,COWRYWISE,0,,NULL,NULL,NULL,0,0,0,0,1,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL
001357492be14d51bb15e4a713686d89,Stash,Stash,0,2022-03-02,NULL,NULL,"2022-03-02 09:38:31",1,35851a03131d4b46837acc586021d538,2,0,NULL,0,1,0,1,2022-03-02,2022-03-02,0,cac7bc258d17406587efcd10a0588381,0,0,0,0,0,NULL,0,0,NULL,1,0,0,0,COWRYWISE,0,,NULL,NULL,NULL,0,0,0,0,1,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL
002b48c9f6ec48fdb586bd019a85aa9a,Emergency,"Regular Savings",2045300,2022-04-14,2025-04-17,2025-04-24,"2022-04-14 13:02:48",2,5572810f38b543429ffb218ef15243fc,1,0.41,NULL,0,4,409048500,0,2025-04-20,2025-04-19,0,faa7339082a7469aabffb16ceb0810a0,0,0,0,0,0,NULL,0,0,NULL,0,0,0,0,COWRYWISE,0,,NULL,NULL,NULL,1,0,1,0,1,0,NULL,0,0,NULL,0,0,NULL,0,0,1
002de81fe90549a9bd545c57b10a8007,ollp,Group,333300,2023-10-20,2025-04-19,2025-04-20,"2023-10-20 12:22:00",6,3aa79f2f1c0148cd964a6f91dd0fd72b,1,0.11,NULL,0,1,0,0,2025-04-20,2025-04-19,0,01f3e959a4264363b326625094227db7,0,0,0,0,0,a8941b0353c742ea9856cb276276a7f3,0,0,NULL,0,0,0,0,COWRYWISE,0,,NULL,NULL,NULL,1,0,0,0,1,0,NULL,0,0,"DTSTART:20231020T000000Z
RRULE:FREQ=DAILY",0,0,NULL,0,0,NULL
00307f85a85c4457bc558db03e8e4778,Stash,Stash,0,2024-12-17,NULL,NULL,"2024-12-17 09:27:11",1,a058bcd7910d454395e62102e798f0f1,2,0,NULL,0,1,0,1,2024-12-17,2024-12-17,0,NULL,0,0,0,0,0,NULL,0,0,NULL,1,0,0,0,COWRYWISE,0,,NULL,NULL,NULL,0,0,0,0,1,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL
0032b91dd582408ab5994607857532b1,Avocado,"Mutual Fund",30000,2022-03-01,NULL,NULL,"2022-03-01 17:42:43",1,d4fc05997a4a419fac61fe92d3644742,2,0,NULL,0,1,0,1,2022-03-01,2022-03-01,0,7eb692f010c64ab7aeb879fb01f3a650,0,0,0,0,0,NULL,0,1,fc31035e721c4cb8a1d92767dd298dc4,0,0,0,0,COWRYWISE,0,,NULL,NULL,NULL,0,0,0,0,1,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL
0033edda33c24e7d96c98b5f9a6504e9,LetsGoCrazy,"Save As You Earn",3187500,2020-04-05,NULL,2020-04-05,"2020-04-05 07:26:56",4,75b9df985e254031aaba8ec44f459d2d,2,0.07,2020-11-27,0,1,25500000,1,2025-04-20,2025-04-19,0,3d5176b8b2a244b298f8498a97f4d2f2,0,0,0,0,0,9b2a1b930e5b4aac820c6b7bc6a46999,0,0,NULL,0,0,0,0,COWRYWISE,0,,NULL,NULL,NULL,0,0,0,0,1,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL
0038f404d40a4352b4f0f307db7ecd5c,Examples1,"Regular Savings Plan",100000,2025-01-16,2025-04-19,2025-04-20,"2025-01-16 09:25:10",6,2fb594bd456a49a7bdceb70316b2bd74,1,0,NULL,0,1,0,0,2025-04-20,2025-04-19,0,589f9671e2d94041b7e1b22571714629,0,0,0,0,0,NULL,0,0,NULL,0,0,0,0,COWRYWISE,0,,NULL,NULL,NULL,0,0,0,0,1,0,NULL,0,0,"DTSTART:20250116T000000Z
RRULE:FREQ=DAILY",0,0,NULL,0,1,NULL
003aa1e35e814210bf719108e050d78b,Ceylon,"Regular Savings Plan",1000000,2023-08-22,2025-03-28,2025-04-28,"2023-08-22 21:48:23",6,ae89c480daf8405fb57d639b646c8be6,1,0,NULL,1,1,0,0,2025-04-20,2025-04-19,0,568abcb12c5b448b99ae8217be5f2a7e,0,0,0,0,1,NULL,0,0,NULL,0,0,0,0,COWRYWISE,0,,NULL,NULL,NULL,0,0,0,0,1,0,NULL,0,0,"DTSTART:20230822T000000Z
RRULE:FREQ=MONTHLY;BYMONTHDAY=28",0,0,NULL,0,1,NULL
0074314e91e8494aae882d407250c035,Carrot,"Periodic Plan",1000000,2023-08-24,NULL,2023-09-01,"2023-08-24 21:49:06",6,fcc798a462f9419eabd48ceba3ea69b4,2,0,NULL,1,1,0,0,2025-04-20,2025-04-19,0,d790c531a0504014990edeb02b110cf9,0,0,0,0,1,NULL,0,0,NULL,0,0,0,0,COWRYWISE,0,,NULL,NULL,NULL,0,0,0,0,1,0,NULL,0,0,"DTSTART:20230824T000000Z
RRULE:FREQ=MONTHLY;BYMONTHDAY=1",0,0,NULL,0,1,NULL
